ISBN,TITLE,ANALYZE,$ USED,$ NEW,$ AMAZON,$ TRADE-IN,# USED,# NEW,RANK,AVG. RANK,PUB DATE
545162076,Harry Potter Paperback Box Set (Books 1-…,,47.94,49.38,49.38,No Value,51,23,55,178,2009
323358411,Saunders Comprehensive Review for the NC…,,49.15,62.01,62.05,No Value,15,25,"1,063",689,2019
 ,Saunders Comprehensive Review for the NC…,,56.04,62.05,62.05,No Value,16,24,874,698,2019
500513600,Chanel: Collections and Creations,,30.53,31.48,31.49,No Value,33,27,734,743,2007
1516703839,ATI TEAS Secrets Study Guide: TEAS 6 Com…,,26.38,28.99,40.49,No Value,31,15,"1,019",856,2016
786966629,Dungeons & Dragons Core Rulebooks Gift S…,,84.99,91.97,91.99,No Value,12,33,"1,254",974,2018
786966629,Dungeons & Dragons Core Rulebooks Gift S…,,121.77,91.97,91.99,No Value,12,33,"1,479",999,2018
1338565850,I Survived: Ten Thrilling Stories (Boxed…,,37.91,37.22,38.51,No Value,12,22,972,"1,067",2019
989081532,The LSAT Trainer: A Remarkable Self-Stud…,,35.99,57.3,58.49,No Value,44,14,"1,320","1,193",2017
1572307811,DBT Skills Training Handouts and Workshe…,,31.99,31.23,36.1,No Value,4,12,"1,681","1,232",2014
989081532,The LSAT Trainer: A Remarkable Self-Stud…,,35.99,57.3,58.49,No Value,45,14,"1,994","1,233",2017
1433832178,Publication Manual of the American Psych…,,37.36,33.63,33.65,No Value,10,28,"2,159","1,332",2019
1338218395,Harry Potter Books 1-7 Special Edition B…,,79.71,62.98,62.98,No Value,8,27,"1,273","1,403",2018
1338218395,Harry Potter Books 1-7 Special Edition B…,,79.71,62.98,62.98,No Value,9,25,942,"1,410",2018
316243981,The Twilight Saga White Collection,,40,34.98,34.98,No Value,18,28,742,"1,482",2012
1449433251,The Complete Calvin and Hobbes,,60.28,63.41,63.46,No Value,19,26,979,"1,645",2012
1449433251,The Complete Calvin and Hobbes,,68.43,63.4,63.46,No Value,17,26,902,"1,681",2012
1259288617,Connect 1 Semester Access Card for Chemi…,,40.89,36.54,122.36,No Value,4,9,"1,794","1,747",2015
1259288617,Connect 1 Semester Access Card for Chemi…,,40.89,36.48,122.36,No Value,4,9,"1,869","1,753",2015
1465475850,History of the World Map by Map,,32.67,36.1,36.1,No Value,18,26,972,"1,765",2018
1628251840,A Guide to the Project Management Body o…,,53.41,59.3,62.43,No Value,29,17,"2,410","1,852",2017
1628251840,A Guide to the Project Management Body o…,,53.37,60,62.43,No Value,29,15,"2,293","1,874",2017
847826694,Tom Ford,,93.89,93.64,101.99,No Value,16,18,"2,613","1,886",2008
1911015486,The Legend of Zelda: Breath of the Wild …,,31.02,32.72,35.99,No Value,13,14,"2,783","1,948",2018
847826694,Tom Ford,,93.87,93.64,101.99,No Value,15,17,"3,493","1,966",2008
1259298736,CONNECT 1 SEMESTER ACCESS CARD FOR CORPO…,,87.68,156.94,156.99,No Value,1,4,"2,154","2,143",2015
